"","MeanDecreaseAccuracy","MeanDecreaseGini"
"n_pag",16.5444898535654,21.9388618777228
"dates",22.3906246847851,117.149628429498
"dates_par",14.7539139601098,5.64539612672413
"litverz",12.3853660623907,3.9910353558479
"biblio",4.53407101107014,0.23824925667672
"literatur",2.391943104685,0.0519414661991216
"pubplaces",20.9988923589131,71.2549062064798
"abkuerzungen",7.56324715674868,16.1699968382941
"pub_fr",9.91746510924505,7.54175117466133
"pub_paris",3.5645331335202,0.28746628193465
"pub_ny",6.91474291455774,4.87161126328238
"pub_mue",6.24494517897092,11.6223089779045
"pub_stu",5.34833803660518,5.43094449363231
"pub_tue",9.01292096776115,0.857519844395404
"pub_ber",7.66540591224257,13.8998805846028
"pub_lon",4.16956553848049,0.795148009005669
"pub_wien",10.1595317950505,1.25508472086386
"pub_cam",6.31011326051138,0.582202706521308
"pub_oxf",4.10682330156116,0.329697662890436
"pub_ham",2.87710956561952,0.600310593889019
"pub_darm",3.32823537008602,0.377852199372614
"pub_lei",5.19890278739672,0.906964946547393
"pub_hei",3.4173680822723,0.37174550840808
"kw_hrsg",6.82325080550594,2.33610530949198
"kw_ed",4.76189536294294,0.828851244145106
"kw_bd",5.03499804965525,1.03233122167764
"kw_nr",5.36901663711626,0.596974241003825
"kw_ders",3.31890314947671,0.205822018885364
"neg_ebd",11.0168087304401,0.477579706528182
"neg_zb",5.11910808596891,0.312235856528683
"neg_ver",9.40250287902724,0.68307751771981
"negativ",9.55056510688917,4.68749076715374
"n_pags",17.0949253658685,9.92420059467703
"position",22.0890971774765,65.7057576814683
"dates_sw",24.8724322407641,126.30916176352
"dates_par_sw",16.5399975808132,8.63422927343977
"litverz_sw",11.9507679592081,6.25390297747467
"biblio_sw",7.98954226479141,0.978614901832879
"pubplaces_sw",32.3184180992049,99.0225026107404
"abkuerzungen_sw",12.938350817557,24.7762289034579
"negativ_sw",12.0382308879454,10.2414306730315
"position_sw",19.5851908328711,55.6517825621483
"n_pag_sw",17.1430621660467,19.7344706017587
