"","MeanDecreaseAccuracy","MeanDecreaseGini"
"dates",13.2648420557792,105.31643667736
"litverz",14.3553643104435,4.91830477004927
"biblio",1.54323116571974,0.103388235853782
"pubplaces",16.9228207502721,50.5950469793345
"abkuerzungen",8.32818034784292,12.7919983198417
"pub_fr",9.01061238849048,8.47565614636389
"pub_paris",5.29433439061307,0.641102583139763
"pub_ny",9.61061874114516,6.120717764064
"pub_mue",12.3353343382914,13.3904396271293
"pub_stu",6.24655313544104,5.70362696281201
"pub_tue",10.9774947429376,1.33986244916419
"pub_ber",8.57228067947929,9.05740990051199
"kw_hrsg",6.1437995617256,1.12745569622456
"kw_ed",5.10879902619619,1.13129672988762
"kw_bd",7.5775565818393,2.36127562655005
"kw_nr",1.0801258746288,0.58103852308775
"kw_ders",4.15454832414093,0.277822198502322
"n_pag",25.2127885765921,29.5134597967067
"position",40.1497683885158,88.9523003373396
"dates_sw",19.2454233586657,119.711485059462
"litverz_sw",19.2371160822583,9.88917389552383
"biblio_sw",3.45347509293114,0.405701941562551
"pubplaces_sw",29.3775217548902,81.6754995499455
"abkuerzungen_sw",13.6033045980228,26.2767421283891
