pdf_name,dates,litverz,biblio,sekundaerlit,primaerlit,waerke,pubplaces,abkuerzungen,pub_fr,pub_paris,pub_ny,pub_mue,pub_stu,pub_tue,pub_ber,kw_hrsg,kw_ed,kw_bd,kw_nr,kw_ders,kw_anhang,kw_inhalt,kw_vgl,n_pag,n_pags,position,bibtest
de_pum_2004_landzettel_f,0.003752345216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,789,0.5487959442,0
de_pum_2004_landzettel_f,0.003752345216,0,0,0,0,0,0.001876172608,0,0.001876172608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,789,0.5209125475,0
de_pum_2004_landzettel_f,0.003780718336,0,0,0,0,0,0.003780718336,0,0.003780718336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,789,0.164765526,0
de_pum_2004_landzettel_f,0.003780718336,0,0,0,0,0,0.007561436673,0,0.007561436673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,789,0.5221799747,0
de_pum_2004_landzettel_f,0.003795066414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,789,0.2484157161,0
de_pum_2004_landzettel_f,0.003795066414,0,0,0,0,0,0.001897533207,0,0,0,0,0,0,0,0.001897533207,0,0,0,0,0,0,0,0,198,789,0.2509505703,0
de_pum_2004_landzettel_f,0.004016064257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,789,0.1673003802,0
de_pum_2004_landzettel_f,0.004081632653,0,0,0,0,0,0.004081632653,0,0.004081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,789,0.06844106464,0
de_pum_2004_landzettel_f,0.004580152672,0,0,0,0,0,0.006106870229,0,0.001526717557,0,0,0.001526717557,0,0,0.003053435115,0,0,0,0,0,0,0,0,578,789,0.7325728771,0
de_pum_2004_landzettel_f,0.004594180704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,789,0.2091254753,0
de_pum_2004_landzettel_f,0.004618937644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,789,0.5513307985,0
de_pum_2004_landzettel_f,0.004618937644,0,0,0,0,0,0.01154734411,0,0.002309468822,0,0,0.002309468822,0,0,0.006928406467,0,0,0,0,0,0,0,0,517,789,0.6552598226,0
de_pum_2004_landzettel_f,0.004680187207,0,0,0,0,0,0.003120124805,0,0,0,0,0.003120124805,0,0,0,0,0,0,0,0,0,0,0,575,789,0.7287705957,0
